Closest_TSS_gene_name,cpg,Discovery Cohort p value,Validation Cohort p value
SLC20A2,cg10806146,0.109282755,0.147712887
AK125212,cg15448894,0.109303127,0.068710391
LINC00310,cg19118951,0.113502797,0.09151678
TFAP2A,cg14993900,0.104515036,0.099882897
SAPCD1,cg10158997,0.124606609,0.111120457
RCBTB2,cg18731055,-0.101713256,-0.091276444
DUSP5,cg23608075,0.106647878,0.133683392
NRXN2,cg21660452,0.109230682,0.10086924
MIR938,cg07437737,0.109108704,0.127080912
PDPN,cg24671344,-0.114493064,-0.063643525
ANKRD52,cg20059881,0.111212714,0.030873599
CTBP2,cg17191109,0.137457264,0.168158852
GNA12,cg04849508,0.147258037,0.152589504
LRRFIP1,cg21708130,0.138759733,0.113380772
AF339817,cg22223119,0.101393012,0.116213658
NEDD4,cg20612128,-0.101624817,-0.095775252
EGFR,cg23757825,0.10443282,0.098476246
SIX3,cg13905258,-0.123878575,-0.071754514
TMEM174,cg22120063,-0.101432538,-0.107864498
mir-108-1,cg03986418,0.123765022,0.149240476
LOC157627,cg21762788,-0.119971616,-0.059609811
U1,cg24967553,0.108017673,0.088587001
TRIM40,cg12612406,0.127618206,0.144227172
RHOJ,cg13199429,-0.132274837,-0.09339386
STRA8,cg23903035,0.139003456,0.162019859
ACPL2,cg18802720,-0.12584343,-0.037050341
AK097686,cg08530838,-0.126490669,-0.102017411
NR2F2,cg07379949,-0.113717526,-0.041902981
PXK,cg24175188,-0.10791038,-0.076482115
LOC401022,cg10159630,-0.13147513,-0.11083942
LEP,cg19594666,0.133209829,0.092088738
PDX1,cg17200768,-0.119313376,-0.059855837
MIR603,cg21396949,-0.100850404,-0.053221313
AJAP1,cg13056990,0.106667723,0.11463718
CAST,cg12866104,0.101145943,0.093061676
AK024936,cg14393923,0.124552093,0.115903184
GPR39,cg24964130,0.108819968,0.035957423
DIO3AS,cg05369857,0.107164829,0.126812287
SLC39A1,cg25064552,0.119030726,0.176314562
HOXA1,cg18557185,-0.122932436,-0.00768523
USP34,cg03589282,0.109571581,0.190880885
SRGAP1,cg01099855,0.100478723,0.082163165
TBXAS1,cg24431161,0.131369882,0.120398914
IQCG,cg21915659,-0.100235008,-0.042534516
MED30,cg00592871,0.105572252,0.04701229
MIR4750,cg05213896,0.110736187,0.121836206
TBCD,cg16094026,-0.107151519,-0.005543869
SLC1A3,cg21050001,0.1425513,0.145198126
AP4E1,cg24311373,0.116439019,0.123042614
Mir_548,cg13007502,0.135442068,0.15979827
CADPS,cg15253604,-0.102981315,-0.00899229
EPHA2,cg05797770,0.109377582,0.100219611
ALX4,cg06245037,-0.110507018,-0.004311884
CCDC81,cg01663953,0.104139185,0.078046442
GPR39,cg17091301,0.109556976,0.028261073
ODZ4,cg02980047,-0.113568545,-0.135395016
WIBG,cg08338281,0.100052933,0.142960273
LOC100128239,cg16082695,0.114492289,0.107097312
PML,cg01947066,-0.102423757,-0.061770828
IGFBP2,cg06271720,-0.10648984,-0.06637496
NRN1,cg04187403,-0.102989657,-0.10570904
ATP5G3,cg07298772,-0.1038753,-0.052201021
CFLAR,cg23681745,0.125177416,0.191970921
LGALS8,cg18322510,0.114179667,0.196102954
FOXD1,cg18063312,-0.155915045,-0.105290355
MNX1,cg13345957,-0.100139888,-0.028615242
BARHL2,cg00088183,-0.11069278,-0.00892162
TBX4,cg00037457,-0.154920712,-0.10679881
HIVEP3,cg19619028,-0.10006165,-0.1464566
ZFYVE28,cg07042007,-0.101036359,-0.084169982
WRAP73,cg19135761,-0.105576455,-0.093580722
LOC401022,cg02746725,-0.103703617,-0.024212729
LOC154860,cg27393010,-0.117674122,-0.030489451
Mir_548,cg25029529,0.100194425,0.169218184
UBE2MP1,cg01947695,0.103182475,0.146777444
CD38,cg15994026,-0.123098203,-0.024921813
FAM207A,cg02930963,0.107184575,0.136769077
KCNIP2,cg03557857,0.105333348,0.099178008
LINC00085,cg16854917,0.114805652,0.147793741
LOC1720,cg05779458,-0.110367718,-0.020262763
Mir_548,cg05391892,0.10154692,0.140438194
