Closest_TSS_gene_name,cpg,Discovery Cohort p value,Validation Cohort p value
STX1A,cg20663219,0.140475598,0.072785893
ZBTB4,cg07168214,0.127109629,0.065532672
AMN1,cg08198187,0.119054057,0.087417181
ARHGEF4,cg25500616,0.144424052,0.106340956
CMIP,cg02547035,0.123842888,0.058820948
FLJ32224,cg01924561,0.171301292,0.102110055
ZNF385A,cg09676376,0.134002067,0.082712075
SRPRB,cg16275903,0.1043673,0.05671563
VILL,cg06641593,0.115005517,0.082838651
ANO6,cg25162927,0.133485621,0.08624083
GRHL1,cg21560697,0.123201824,0.070751186
HSD17B8,cg17066452,0.117954209,0.051781246
VGLL4,cg22278433,0.107075547,0.06956032
DUSP1,cg04577249,0.126916088,0.074889718
DLG5,cg27328839,0.152890707,0.108631123
IFFO2,cg13173305,0.110088989,0.056385119
C1orf65,cg12458966,0.105347441,0.056458835
CTRC,cg17843487,0.156466367,0.079608474
TRNA_Arg,cg21545548,0.140322735,0.128881241
ZNF385A,cg12150931,0.11574984,0.068938906
PPFIA1,cg18564881,0.133877427,0.077810999
ADAM12,cg02494582,0.147050713,0.092319792
ZP3,cg00502662,0.104414263,0.071355043
AL109706,cg12290217,0.120615812,0.043586737
ITPRIP,cg16301004,0.161660769,0.113335879
TBC1D1,cg01723031,0.145491374,0.073296557
KAZALD1,cg02448743,0.109881319,0.064133828
LOC285954,cg14704980,0.187461804,0.089795904
IL22RA2,cg00415333,0.156372262,0.075906182
AMZ1,cg03653726,0.159423238,0.121183379
TNFSF18,cg22626683,0.160925311,0.087386077
MAFK,cg23843484,0.161453587,0.082141889
SLC45A1,cg11283860,0.148359497,0.078632196
DKFZp547K2416,cg05364179,0.139960445,0.053137486
FLNB,cg23812679,0.112788325,0.073940639
A2ML1,cg03490200,0.10565084,0.064352692
KRT80,cg27278470,0.147915249,0.100970665
BCL6,cg05663031,0.122680193,0.066034348
LOC100507091,cg05399718,0.104897184,0.066554002
GAS7,cg25379762,0.101910374,0.051977735
TIMP3,cg25245338,0.192628226,0.089647728
SSFA2,cg07835482,0.103438728,0.071933063
FLNB,cg02770406,0.204569808,0.111693383
DHX32,cg23997887,0.109372747,0.078922976
SIPA1L2,cg01432692,0.10281194,0.057720882
NPAT,cg12892243,0.117956789,0.081636233
KRT86,cg22193385,0.187048886,0.100230984
ACOX3,cg17055207,0.102308629,0.071687744
IRF8,cg09684264,0.104842463,0.04706588
PSG8,cg11387248,0.122063456,0.069078949
LIMS2,cg13795819,0.121284243,0.082277789
FAM160B2,cg20576064,0.154427576,0.086269191
NCOR2,cg09676622,0.103770426,0.058392233
NPB,cg21823502,0.123426066,0.075439853
TINAGL1,cg16103203,0.103921459,0.079657088
CLEC2L,cg01581050,0.108821093,0.059692331
SLC11A1,cg17010118,0.143697437,0.102979507
FAM18A,cg03777414,0.203147523,0.089294841
CLDN7,cg13724311,0.108658643,0.065788475
PAPPA2,cg25103772,0.157156592,0.08645191
MB21D2,cg20970886,0.132136892,0.077211595
BUB1B,cg25653839,0.115977028,0.072395511
KDELC1,cg06377626,0.108906378,0.056541746
CCL27,cg13562353,0.127925077,0.065957142
KIAA1614,cg13467459,0.137510523,0.113395961
SNORD54,cg02508743,0.10592059,0.054464146
LNPEP,cg24598187,0.131456814,0.07302227
PWWP2B,cg25961733,0.111877199,0.076241956
JHDM1D,cg26800802,0.131622673,0.053669899
SFT2D3,cg24925163,0.154513181,0.08942885
MYO7A,cg15433043,0.117227064,0.064849948
MBNL2,cg03099780,0.137755207,0.084955063
LOC90246,cg19234171,0.117642904,0.073106575
EPAS1,cg15129144,0.136748585,0.095231816
KIAA1211,cg08112737,0.117315174,0.066263395
TCF25,cg05412696,0.100314449,0.070825749
KRT86,cg05169499,0.11266728,0.062614418
FNIP2,cg11637968,0.146595741,0.088887324
C2,cg11049439,0.104847194,0.074796031
GATA3,cg01522692,0.101432156,0.058411679
CLN8,cg19366147,0.102778632,0.043587993
SAP30BP,cg20938708,0.131337461,0.055965891
AMBRA1,cg07819010,0.126600465,0.071090803
PAPPA2,cg18236464,0.208706252,0.111518382
CSGALNACT1,cg14854503,0.194907907,0.08947063
MSI2,cg04573500,0.124105073,0.079470103
DQX1,cg02034222,0.10070562,0.065453326
SOX6,cg19578175,0.124142159,0.055666073
TEAD3,cg10893014,0.244580059,0.145421232
MARCKS,cg16090790,0.153998332,0.09943826
MIR4499,cg23485627,0.12135763,0.087394075
GALNTL4,cg12511310,0.106702951,0.054713494
SPTLC3,cg16404259,0.116729913,0.085855565
AX747408,cg24233594,0.10478789,0.04398043
C22orf31,cg20080983,0.118785322,0.067529891
INSIG1,cg12979992,0.162406296,0.118416513
NFKBIZ,cg06056170,0.105232391,0.085815661
KLF5,cg26531076,0.117918881,0.106017243
YPEL5,cg02766770,0.119448934,0.084370604
CD47,cg23521980,0.101538056,0.060452543
FLJ43663,cg14343652,0.111539607,0.057138036
ZNF783,cg18783886,0.11007436,0.081515117
RRBP1,cg00990977,0.143886068,0.100532056
SLC19A3,cg04730276,0.11955278,0.041209148
ARID3A,cg25298189,0.102660711,0.081127889
PLEC,cg08161931,0.101136145,0.063346279
XIRP1,cg01127412,0.112172474,0.068105171
MFHAS1,cg12077460,0.110695095,0.058786078
DNASE1L3,cg24260359,0.10710341,0.04866904
U6,cg27378762,0.105107384,0.058285025
HTR1D,cg11811391,0.159823164,0.076247072
ZBTB38,cg14500070,0.133091348,0.081132946
STK24,cg19861486,0.130234083,0.080065902
ERICH1,cg13175060,0.154137991,0.096739117
PHF17,cg03078141,0.110362338,0.074217112
LIMCH1,cg25740652,0.155891123,0.07253875
EGFR,cg04156940,0.117172772,0.052289254
C14orf1,cg01284448,0.142887759,0.058357759
C10orf26,cg20340720,0.128831633,0.083498353
C2orf61,cg14327359,0.134286727,0.060198805
TNFAIP1,cg01257345,0.143818143,0.072354789
CSF3R,cg07285167,0.101381407,0.072271419
LTF,cg13672136,0.130441576,0.102374459
C11orf16,cg14402562,0.110552342,0.082309417
SNORA70,cg25103160,0.11072234,0.027246574
GLDN,cg07888040,0.114051804,0.055757716
FLNB,cg17338821,0.100347996,0.074854984
NEBL,cg00496126,0.152536237,0.097190591
ART4,cg10047173,0.150050248,0.079010205
IGF2BP2,cg03554286,0.106312508,0.068313936
CMIP,cg08946161,0.103437548,0.063913062
EPAS1,cg25589945,0.131267773,0.092910719
TMEM139,cg08261841,0.114598208,0.082143605
INHBA,cg18413237,0.124093923,0.085861185
SIAH2,cg21331845,0.123191514,0.067121387
MIR205,cg01334432,0.104235969,0.057396125
LOC285696,cg25503410,0.118693023,0.067567113
SLC30A2,cg26922451,0.131819179,0.082128169
POLD3,cg00453717,0.120547076,0.072631488
PWWP2B,cg26450254,0.121739462,0.081972837
CLIP4,cg17417693,0.151911721,0.097692838
SLC11A2,cg25493658,0.129783791,0.096456359
CORO1C,cg12647920,0.168136819,0.126641724
NAGLU,cg01515741,0.113660815,0.091703581
PLAC4,cg14867395,0.119456141,0.076697818
LOC728743,cg11034318,0.130169789,0.057572414
JUNB,cg22996170,0.206529725,0.133165716
UBR5,cg12517050,0.103718717,0.068414022
GATA3,cg07989490,0.105350265,0.04869325
GUCA2A,cg09278187,0.108528016,0.061798527
SNORA11B,cg21906866,0.126739982,0.078352694
C9orf46,cg23598352,0.105444634,0.058675719
LMNA,cg27182012,0.171484795,0.125701814
TCF25,cg07891440,0.12010643,0.101824891
ETV5,cg01519765,0.126434269,0.07334717
NCK2,cg03105244,0.100136704,0.068687793
DNASE1L3,cg10235741,0.121979021,0.078170041
RALGDS,cg14103123,0.122709311,0.09539986
C14orf181,cg20016914,0.104776103,0.065977376
MIR4284,cg06480942,0.143823543,0.101449953
NR3C1,cg23400056,0.112970581,0.060557478
CSRNP1,cg13062627,0.148166504,0.093415333
TRIM8,cg17782974,-0.101393439,-0.060404366
AK122764,cg18743287,0.155707503,0.090043326
XYLT1,cg00840341,0.104845653,0.052326858
LGALS8,cg07913153,0.102233429,0.066747021
GPR110,cg22572071,0.128064837,0.064104279
AK123450,cg26548682,0.116316849,0.083907449
CHSY1,cg12361046,0.158498053,0.108362135
BTG3,cg08875503,0.12036665,0.06212654
C10orf90,cg04507071,0.104576053,0.057749567
C8orf42,cg02341578,0.122266981,0.083722571
TECR,cg24143196,0.108945949,0.082299363
INHBA,cg12261055,0.15372559,0.106833686
CYP11A1,cg06285340,0.103261213,0.072198801
PMEL,cg08869883,0.10502658,0.064620653
PHF17,cg17233452,0.108048403,0.073636983
AX747368,cg11624780,0.108228047,0.065977717
ASAP1,cg00659129,0.104051791,0.047557509
IFITM3,cg20151221,-0.117391082,-0.06519916
RERE,cg27561786,0.100446493,0.074578222
CAMSAP3,cg15512156,0.126632143,0.100668571
PGRMC2,cg21491609,0.100823535,0.047357171
TRAM2,cg26301143,0.114043123,0.046734739
TRIM29,cg26247168,0.128952052,0.101739226
TTC7A,cg02286857,0.105567468,0.066786269
MAB21L3,cg24311182,0.109363379,0.074363622
CAB39L,cg01427300,0.100519159,0.072709591
HIST1H1T,cg19722391,0.13636343,0.110206086
TIMP3,cg27221424,0.110211019,0.080526384
U6,cg02275040,0.113157591,0.082438314
RDH13,cg20669049,0.111405314,0.104332304
BC035370,cg27307465,0.148808478,0.092323852
C15orf52,cg12732548,0.105278753,0.039036064
LOC145837,cg25175240,0.130752237,0.062041963
FLNB,cg02026180,0.111588779,0.064568196
CGA,cg07981495,0.152818628,0.080779409
CALD1,cg03188976,0.115629617,0.051597011
KLHL29,cg00886182,0.103093647,0.062700262
SLC4A3,cg18199208,0.109552916,0.065403148
LOC100131551,cg00490976,0.102394315,0.018188137
SOD3,cg22183373,0.100974964,0.044526669
FAM150B,cg13467628,0.130683675,0.060630518
MOB3A,cg07381806,0.129633386,0.078533226
LOC100505839,cg03880642,0.119386336,0.069684065
ZNF175,cg10668363,0.177764541,0.133008556
PPP2CA,cg18514949,0.112864608,0.055606639
SLC7A5,cg06665333,0.125406874,0.08370352
HS3ST3A1,cg09174601,0.123539097,0.055134474
MED13L,cg07060505,0.137690465,0.074971984
ITCH,cg09049982,0.119624059,0.077770355
MIR149,cg11479811,0.115318275,0.072340205
GNA12,cg08799766,0.154117745,0.078933522
SLC45A4,cg20555854,0.12097046,0.103258849
CLMN,cg16336066,0.120533076,0.058021143
BCL6,cg06070445,0.123987694,0.073482712
TRIM8,cg16654458,0.128860529,0.108371655
C2orf72,cg05647720,0.103574798,0.067092009
HIST3H3,cg04103490,0.129876322,0.078969102
COL17A1,cg13553455,0.136885953,0.105870289
GUCA2A,cg03730249,0.128242105,0.073550582
UBE2E1,cg03668982,0.144114127,0.088085119
GALM,cg22860917,0.137397902,0.07890492
AK125516,cg01144019,0.11608728,0.082412966
DL489896,cg18474072,0.150383444,0.121685797
DGCR8,cg20012247,0.137859954,0.096774478
MIR4711,cg19773937,0.100523329,0.064867268
LIMCH1,cg22204103,0.115746254,0.060022391
EPS8L2,cg27649971,0.13505068,0.05084688
FSTL1,cg11622516,0.131950057,0.075641797
CEP41,cg09507697,0.111604264,0.06089254
ERRFI1,cg14178899,0.130609616,0.076699507
CSF1R,cg07284261,0.129271165,0.086769279
LOC100507582,cg26269881,0.101491956,0.078248271
CPPED1,cg01323840,0.115181456,0.060470876
BC048114,cg10092779,0.112317017,0.027965469
PITRM1,cg18912160,-0.123299013,-0.05784474
TBXAS1,cg24431161,0.169941442,0.079187999
MIG7,cg15113123,0.108130534,0.095403757
RAD1,cg15003812,0.107851006,0.104378711
ZNF366,cg12508655,0.121108414,0.076966599
PWWP2B,cg05467828,0.102862227,0.059879013
PTPN3,cg13715502,0.102623479,0.07079555
RAB5C,cg20438445,0.105976469,0.064198111
SH3BP5,cg18444702,0.125692397,0.107988392
PNMA2,cg01862311,0.121211289,0.052275902
GAB1,cg12379954,0.100022666,0.072345266
CREB1,cg10440877,0.101609933,0.049298286
LIMCH1,cg23653457,0.129217248,0.062065129
SMOC2,cg02448805,0.12217826,0.071881395
TBCD,cg14605961,0.114892747,0.117910435
NRN1,cg05254646,0.104444051,0.067894441
RRM2B,cg20157339,0.103208731,0.04800855
BC044741,cg23751171,0.112190596,0.086737607
FLT4,cg10660844,0.103246426,0.061037957
MRVI1,cg00510149,0.110883465,0.06993417
LOC646324,cg20428989,0.1174069,0.085219349
EFCAB1,cg16100845,0.103542734,0.07697504
CUX1,cg05910443,-0.10169635,-0.055925764
MIR4708,cg01703196,0.126854497,0.115406588
MTA1,cg14377923,0.105366088,0.08065357
C17orf110,cg11619216,0.10185243,0.081716229
TBCD,cg24481782,0.144777297,0.034834847
Mir_633,cg04541146,0.103619381,0.067455514
PAQR8,cg07907670,0.101161343,0.068446082
RILPL1,cg23825057,0.104616532,0.067790159
CAMK1,cg20782816,0.106763658,0.04508158
LRP5,cg16365302,0.10797956,0.063734435
TNFAIP8L2-SCNM1,cg16565154,0.111717952,0.050816535
FRMD6,cg22800400,0.104155104,0.074539198
HECW1,cg03873694,0.100119752,0.029964211
PWWP2B,cg23249922,0.107679121,0.067478923
CSGALNACT1,cg11155735,0.110237692,0.055848986
BTBD3,cg20981848,-0.109768312,-0.057096479
USHBP1,cg14584702,0.102233195,0.107884497
FBLN1,cg05248804,0.102598213,0.064646161
ASAP1,cg13629652,0.112687418,0.059507334
NACC2,cg14350701,0.127754173,0.066442703
SLC16A12,cg26568031,0.105176514,0.058852036
TBC1D9,cg03407966,0.110335335,0.080905259
MAN1C1,cg12701302,0.144343307,0.094524541
SH3BP5,cg04858987,0.144299209,0.132836017
SCIN,cg18695259,0.114266521,0.070205381
AK056252,cg04365699,0.100070993,0.06771208
GNA12,cg04849508,0.186692545,0.085457354
5S_rRNA,cg11033588,0.107273318,0.079858733
FJX1,cg21913652,0.131408875,0.078761307
MGAT3,cg05541460,0.102410057,0.062847822
TAP2,cg03438552,0.105736701,0.068024044
DLC1,cg26244164,-0.102776647,-0.044740039
AK091866,cg05211068,0.103550791,0.065114284
ATP5G3,cg20497304,0.118822688,0.049162669
APOL4,cg11178302,0.148953642,0.119891296
PHC2,cg06953325,0.137839743,0.088595035
MIR3182,cg01750200,0.104798896,0.063547768
DIAPH3,cg00623826,0.111117721,0.029112841
ANKDD1A,cg18926409,0.101081711,0.067646327
LOC100288428,cg21908673,0.104814315,0.082331559
NRXN2,cg21660452,0.120030491,0.105500468
ZFP36L1,cg06617636,0.121538494,0.094392216
IMPG1,cg16423738,0.107602012,0.045971387
TRNA_Leu,cg20430841,0.107581019,0.065097224
C6orf186,cg17295389,0.103133763,0.038792816
MIR938,cg07437737,0.116647976,0.110756232
FBN2,cg02252421,0.120353042,0.089457343
BAIAP2L1,cg15059474,0.106832173,0.074043839
WDR69,cg09638264,0.120687039,0.129678166
SCOC,cg05347925,0.101094178,0.09585678
COL17A1,cg15715892,0.123207685,0.098426717
5S_rRNA,cg16710042,0.103368623,0.05246931
ADHFE1,cg10895168,0.100929305,0.067534711
AK127270,cg27547053,0.119176715,0.056456105
FAP,cg03506656,0.10532809,0.060939457
LOC100130275,cg00110654,-0.112997818,-0.048256988
PTPN14,cg06826449,0.114037579,0.082483043
PCAT1,cg25632577,0.118058962,0.062587486
PKP2,cg19677302,0.111356796,0.0762706
ERRFI1,cg00768179,0.100341712,0.086505994
TMEM184A,cg21368161,0.108443653,0.079703808
GTDC1,cg03678729,0.100241399,0.072759578
QSOX1,cg27056501,0.123276736,0.080416063
MIR29A,cg11370011,0.101288683,0.032725959
INHBA,cg00159987,0.104737484,0.086856603
RNF126P1,cg08805241,0.101167953,0.059222206
EIF4H,cg26311610,0.105350959,0.087280251
DUSP5,cg23608075,0.113549784,0.092890396
SERINC5,cg26075213,0.102516149,0.097344326
STK38L,cg03766264,0.10296155,0.067909334
EGFR,cg23757825,0.110983753,0.07684029
LOC100507582,cg16582517,0.12970898,0.066581181
SIX3,cg02657654,-0.15365243,-0.043407958
NUDT9P1,cg26276667,0.122149904,0.049405814
LOC100130987,cg11758697,0.125575196,0.079000554
LOC729799,cg20444525,0.117166254,0.017205006
AK097119,cg07502782,0.126141961,0.083167987
FAM196A,cg11503487,0.103918183,0.064276738
GPD1L,cg15318697,0.111379915,0.051775942
PKIG,cg19554235,0.120053869,0.078140216
TBCD,cg16518729,0.148946694,0.0229759
7SK,cg05510339,0.104567849,0.054150612
CTAGE1,cg20586124,0.127457396,0.094729987
HDAC4,cg27433031,0.108843675,0.077887282
TFAP2A,cg14993900,0.108576407,0.081084415
GNA12,cg13928313,0.101008794,0.067130637
U2,cg18751231,0.129806454,0.141484062
DNAJC6,cg18191867,0.105492053,0.090180714
IL12A,cg26187205,0.100415527,0.070295059
FMNL2,cg13923497,0.10592537,0.070849193
CUX1,cg14466759,0.1281262,0.098828877
ST3GAL4,cg12804791,0.142629501,0.084726101
BC048982,cg26947626,-0.102211172,-0.005710861
LINC00163,cg11327657,0.149384962,0.076332687
SLC39A10,cg05418915,0.10448522,0.056959411
TSPAN5,cg02304751,0.100508798,0.058222828
SAPCD1,cg10158997,0.118619899,0.088606713
DEPDC1B,cg12995421,0.125151993,0.074864037
ANKRD52,cg20059881,0.108421919,0.075314592
VNN2,cg13130224,0.100131683,0.059816622
LINC00085,cg22278033,0.104331237,0.045069724
C4orf26,cg10409560,0.10412988,0.099482378
PCDHB13,cg03631455,-0.110680513,-0.000304488
BC047484,cg21594328,0.108059787,0.05254512
RGS4,cg07835293,0.10198964,0.06297112
ANKRD13A,cg02927618,0.10118757,0.077144986
ZNF727,cg01176516,-0.130379512,-0.061257374
IDH2,cg19674091,0.156388033,0.111588068
PXDN,cg26137290,0.101693906,0.055934549
EDNRB,cg23648516,0.101817692,0.07520017
GNA12,cg01839603,0.132846839,0.071362856
GPC6,cg26530275,0.103343355,0.022749636
ABLIM2,cg07296849,0.102325871,0.064994917
EPHA1,cg05385805,0.103908621,0.067329913
LIFR,cg08219241,0.105616887,0.114951938
Mir_633,cg15015143,0.101802821,0.058829587
EXTL2,cg04098985,0.126959701,0.111451447
PDPN,cg24671344,-0.118679225,-0.053903724
AK125212,cg15448894,0.101102576,0.071848847
IQCE,cg10688297,0.110818452,0.081020109
AK098012,cg27543214,-0.11612,-0.034478804
FRZB,cg02625481,0.104954201,0.060233971
DDR1,cg14279856,0.115093692,0.10084336
RBPMS,cg07575193,-0.108078917,-0.022364064
MTUS1,cg05799058,0.101494811,0.078837462
ENPP2,cg01874183,0.113894075,0.060045751
SHFM1,cg01534613,0.10719365,0.088934748
CCDC140,cg25596297,-0.113963038,-0.049573431
SIX3,cg22884656,-0.154510529,-0.078116578
FOXP1,cg20891481,-0.100014653,-0.073936798
LRRFIP1,cg21708130,0.138270805,0.083619899
ADAMTS6,cg21033632,0.109257537,0.105591908
HOXD13,cg07802350,-0.150952432,-0.088012588
MEIS2,cg09205538,-0.106054426,-0.008415264
FGF2,cg07095252,0.105707931,0.052753289
KRT7,cg18689240,0.108441934,0.048700247
SFSWAP,cg02495552,0.110276995,0.083273672
AK055631,cg03326762,-0.112252979,-0.045770973
PIM1,cg21950107,0.113225294,0.089068854
INHBA,cg19323059,0.108872934,0.093892373
ETS1,cg21121082,0.100983702,0.045950264
EPHA2,cg05797770,0.109648088,0.081323252
FOXB1,cg00970361,-0.12003756,-0.010129972
BTBD3,cg15582126,0.107432312,0.095191256
TSPAN8,cg04950931,0.110960589,0.033056623
FAM150B,cg04709035,-0.139430428,-0.06645495
GPR39,cg24964130,0.109557579,0.027741763
PTPRK,cg20639396,-0.125279239,-0.016195355
RASA3,cg00458564,0.109607288,0.067254136
NUP160,cg16282339,0.151474281,0.090317768
MLLT1,cg06633438,-0.103930216,-0.068839864
GJA3,cg21554895,0.106858646,0.099409518
AP4E1,cg24311373,0.126898571,0.139502515
FOXA1,cg11760593,-0.110497371,-0.04861446
CACNA1C,cg13939602,-0.108638704,-0.140305688
WIBG,cg08338281,0.113690159,0.087429393
OLIG3,cg12744820,-0.140236565,-0.020716676
CD200,cg13671536,0.104910631,0.100861155
HOXD3,cg05864326,-0.136079744,-0.036382485
HDAC4,cg17939889,-0.110411257,-0.076193825
MIR4750,cg05213896,0.108102338,0.08981832
HES1,cg22305268,0.15003928,0.12139951
CCDC81,cg01663953,0.108314318,0.068164694
PML,cg01947066,-0.106135028,-0.055278559
LOC100130872,cg17227257,-0.120043944,-0.079942455
SLC39A1,cg25064552,0.110911169,0.098477125
MTMR10,cg18120790,0.102669439,0.109023954
LOC728640,cg26159090,0.104433341,0.074431502
AK127787,cg25102293,0.102991404,0.034323762
HLX,cg17108958,0.103240549,0.044978959
SRPK2,cg02813710,0.113148482,0.125063751
PCDHA13,cg25027798,-0.101693054,-0.044785004
KCND2,cg15536401,0.112549551,0.041374976
DCDC5,cg21758962,0.129838271,0.050904671
ALX4,cg25363445,-0.168776808,-0.06798855
ZFHX3,cg05340094,-0.100270175,-0.02121614
SLC5A12,cg05862393,0.119461235,0.040692096
DACT2,cg04680393,-0.12921469,-0.029732978
BC025350,cg26104143,-0.102555044,-0.040247471
CTXN3,cg23309843,0.105108735,0.060645522
AK092048,cg25161868,0.11077677,0.05853498
SALL1,cg00683332,-0.143680516,-0.004512625
NKX2-6,cg09618933,-0.109387116,-0.063141528
TET3,cg14702570,-0.114980477,-0.013754619
HS3ST1,cg05521150,0.10497398,0.065379428
SLC5A12,cg26210364,0.106707825,0.046649062
MIR340,cg11860760,0.10800235,0.113016297
SHANK2,cg07579831,0.110350844,0.031650683
PPIL2,cg27512565,0.103103492,0.119170493
DKFZp547J0510,cg12750431,0.10401955,0.019570803
TYRP1,cg25989745,0.108490442,0.063999074
KCNB1,cg26709285,-0.100024471,-0.013067499
POU3F3,cg03928875,-0.14532847,-0.087686765
CCDC140,cg06916239,-0.124245914,-0.060865166
OBSL1,cg04447708,0.103349485,0.098881171
SLC7A5,cg01829163,0.110536804,0.094448646
BC047484,cg01491071,0.101101941,0.031087294
PDX1,cg17200768,-0.114319164,-0.089301214
ZIC4,cg00334063,-0.120533816,-0.053149265
TNFRSF11B,cg03489427,0.100421702,0.047969455
ADCY4,cg25556905,-0.110008719,-0.079785379
ADCY4,cg23179456,-0.140050075,-0.06566074
BARHL2,cg00088183,-0.109761154,-0.007307206
SIX3,cg13905258,-0.104504373,-0.059821167
MIR183,cg21743907,-0.103641872,-0.045229418
NKX2-3,cg03711485,-0.108676545,-0.025512029
mir-108-1,cg03986418,0.107974626,0.131876469
SIX3,cg08696165,-0.104634923,-0.039236231
LOC255480,cg16559598,-0.117872742,-0.021036696
ADCYAP1,cg14200170,-0.101349135,-0.003615736
EBF3,cg16589299,-0.102172017,-0.031699587
SLC5A12,cg20092728,0.114644482,0.045345801
PAX3,cg16529477,-0.109683184,-0.08157051
NPC1,cg13421439,-0.11947379,-0.048707891
RHOJ,cg13199429,-0.105703916,-0.045406282
AK024936,cg14393923,0.103819331,0.090521343
FAM207A,cg02930963,0.103515335,0.08483483
MIR1243,cg06254768,0.104092661,0.002417929
CBLN1,cg06919440,-0.119498116,-0.134986935
PAX3,cg18077971,-0.157923324,-0.12612414
BC040304,cg15844438,0.112288625,0.081732121
ETS1,cg23774988,-0.10166403,-0.068637165
TXNIP,cg10713626,-0.103730099,-0.074419579
SCCPDH,cg14094521,0.106768631,0.108917533
SP9,cg08813062,-0.12408075,-0.036572451
NR4A2,cg18786593,-0.117588901,-0.060436625
CNR2,cg03611151,-0.105524632,-0.014851744
LOC100128239,cg16082695,0.104072268,0.079149164
ISM2,cg02034328,0.104228888,0.101955594
ADCY4,cg13631572,-0.117444899,-0.035117744
DPP6,cg10552126,-0.112221655,-0.000355854
ADCY4,cg16215203,-0.117291267,-0.059703673
POPDC3,cg16734734,0.10394325,0.053316492
DMRTA2,cg23097402,-0.105185367,-0.036316655
RALYL,cg25757598,-0.10778582,-0.037259759
RGS20,cg24645214,-0.115092533,-0.048367377
AX747372,cg18448949,-0.118715965,-0.039260433
